,Accuracy CV,Recall CV,Precision CV,F1 score CV,ROC AUC CV,Accuracy ML,Recall ML,Precision ML,F1 score ML,ROC AUC ML
Logistic Regression,0.8832455507455507,0.9638323713323714,0.8688833388833389,0.8903392609075182,0.968980138688472,0.8939393939393939,1.0,0.8571428571428571,0.923076923076923,0.8541666666666666
Naive-Bayes,0.6706619769119769,0.46758056758056754,0.8421031746031745,0.6267638309784853,0.7609663349767517,0.6818181818181818,0.5,1.0,0.6666666666666666,0.75
KNN,0.9438071188071188,0.9238576238576238,0.9725384800384801,0.9398200016548831,0.9520714285714286,0.9393939393939394,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9345238095238094
Decision Tree,0.8081373256373255,0.8226635401635403,0.8406253006253007,0.8073143976654208,0.8081373256373255,0.9090909090909091,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.8928571428571428
Random Forest,0.9245484607984608,0.9335545935545935,0.9371681096681096,0.9237112335723185,0.9886062710437711,0.9696969696969697,1.0,0.9545454545454546,0.9767441860465117,0.9583333333333333
SVM,0.8146416546416546,0.9513468013468013,0.8020725570725571,0.8194124483324913,0.8490202621452619,0.8787878787878788,1.0,0.84,0.9130434782608696,0.8333333333333334
Neural Networks,0.8823268398268399,0.9712542087542086,0.8728300403300403,0.8921832684709585,0.9532670454545455,0.8939393939393939,1.0,0.8571428571428571,0.923076923076923,0.8541666666666666
Bagging Classifier RF,0.9181661856661858,0.9335545935545935,0.9233970658970657,0.9150358323577017,0.9811363936988936,0.9242424242424242,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.9047619047619049
Ada Boost Classifier,0.9350847763347764,0.960050505050505,0.9403162578162577,0.9387096601335845,0.9859368486451819,0.9545454545454546,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9464285714285714
